game_name;review_text;hours_played;rating;found_helpful;product_count;review_date
For The Warp;"Posted: September 12, 2021
EARLY ACCESS REVIEW
Good game, i feel the graphic's vibe of ""into the breach"" game, and the grid map remind me of Super Robot Wars (SRW) Series, The dev offer a bit different rules of the card game (without discarded game, but always randomly spawn card from the deck), but hey, that's the challenge..

Suggestion from me as the game is still alpha, need more interactive and interesting event..

I dont regret to bought this, and still wait for the great development from the dev..";10.9;1.0;0.0;127.0;Posted: September 12, 2021
For The Warp;"Posted: July 19, 2021
EARLY ACCESS REVIEW
Brilliant little game, had so much fun with it already. Keep up to good work guys, excited for the full release!";6.1;1.0;0.0;117.0;Posted: July 19, 2021
For The Warp;"Posted: January 22, 2021
EARLY ACCESS REVIEW
Solid deck building, space exploration/combat, and awesome story!";7.7;1.0;0.0;42.0;Posted: January 22, 2021
For The Warp;"Posted: April 5, 2020
EARLY ACCESS REVIEW
Often absolutely dependent on luck in the first turn without any reshuffle options, especially encounters with multiple units, not having shield cards usually means game over. Most of the battles are about getting enough shield points and stopping the occasional powerful attacks.";14.3;1.0;0.0;212.0;Posted: April 5, 2020
For The Warp;"Posted: August 23, 2020
EARLY ACCESS REVIEW
A nice game which lacks some polish at the moment. You have too little control over the gameplay as the few possible combos depend on getting the required cards by luck. The replay factor needs improvement, too, as you can only unlock 3(4?) ship hulls but no powerfull cards or something similiar for the next round. Currently there are only a few (5?) levels/star systems which make the game very short. Nevertheless I enjoyed it and hope for a DLC and the needed improvements.";5.7;1.0;0.0;1289.0;Posted: August 23, 2020
For The Warp;"Posted: April 9, 2020
EARLY ACCESS REVIEW
Super Short Review:
This game is an absolute gem and well worth picking up if you enjoy deck-building and space-themed strategy.

Slightly Longer Review:
If you enjoy Slay The Spire or similar deck-building games and you have played space-themed titles like Eve Online and Elite Dangerous... oh boy, will you enjoy this game.

It's a super well polished approach to the genre, featuring beautiful pixel art, a catchy soundtrack and great game design. The hints of lore in this Alpha version already have me intrigued about all the ""races"" and very distinguishable ship designs, the ""oomph"" of card synergy power is very well executed, the feeling of challenge and the achievement when you beat each of the bosses is on point and it even had me gasping at certain random encounters (that I won't spoil) I did not expect, but have left me further intrigued.

I have only managed to collect a single ""legendary"" grade card so far but it already had me working to build a deck around it and I could not put the game down until I managed to unlock all the ships available so far and take them for a spin.

Overall, I am very eager to continue playing and for all the ways I can see this game growing towards its 1.0 release. I can estimate that the content in this current build will probably have me playing it for around 10 hours, but I will definitely follow its development for the chance to play more For The Warp.

A great game that will only get exponentially better as it gets more content.";8.1;1.0;2.0;171.0;Posted: April 9, 2020
For The Warp;"Posted: March 27, 2020
EARLY ACCESS REVIEW
Engaging, addictive and super polished.
Looks and sounds really good (that soundtrack!)
Now if only I could get more repair drones...";10.0;1.0;1.0;141.0;Posted: March 27, 2020
For The Warp;"Posted: August 30, 2020
EARLY ACCESS REVIEW
great game had a blast with it";64.4;1.0;1.0;132.0;Posted: August 30, 2020
For The Warp;"Posted: November 4, 2020
EARLY ACCESS REVIEW
fun game but needs more ships and cards would like a deck editor at the start of the game. Keep up the great work really enjoying the game.";15.7;1.0;0.0;80.0;Posted: November 4, 2020
For The Warp;"Posted: March 29, 2020
EARLY ACCESS REVIEW
I originally bought this game on itch.io in December, back when it was in alpha 0.2.3, so I have a lot more hours in the game than what is reflected on Steam. It's been really cool to see how much work the devs have put into it in just a few short months.

In a nutshell, FTW is a roguelike where you move a spaceship through several sectors of a galaxy toward a goal, sort of like FTL, but the combat uses cards (which are shaped like 3.5 inch floppies and are cute as hell) with different skills and effects, similar to Slay the Spire. Because the loot and maps are randomized, each game is unique and there are many different play styles you can go for in your deck. So, I think it has a good amount of replay value, even in this early alpha stage of development.

I love the pixel art. I love the music and hope they add more. I love the little references (""twisted firestarter"") and the quirkiness of some of the enemies. It's a fun game and I appreciate the insane amount of work they've put into it in just the three or so months since I bought it.

At this point (alpha 0.5.0) my biggest complaint is money. It's too easy to acquire and that makes it too easy to buy a lot of overpowered equipment at shops. I think either money should be more rare, or that loot should get progressively more expensive. That, I think, would help balance the game and make it more difficult. It's a roguelike, after all. It's supposed to be hard! Aside from that, I think they've got a good thing going here and I look forward to seeing what else they do with it in future builds.";16.1;1.0;0.0;154.0;Posted: March 29, 2020
