;game_name;review_text;hours_played;rating;found_helpful;product_count;review_date;early_access;review_length
0;For The Warp;good game i feel the graphics vibe of into the breach game and the grid map remind me of super robot wars srw series the dev offer a bit different rules of the card game without discarded game but always randomly spawn card from the deck but hey thats the challenge  suggestion from me as the game is still alpha need more interactive and interesting event  i dont regret to bought this and still wait for the great development from the dev;10.9;1.0;0.0;127.0;12 September, 2021;True;441
1;For The Warp;brilliant little game had so much fun with it already keep up to good work guys excited for the full release;6.1;1.0;0.0;117.0;19 July, 2021;True;109
2;For The Warp;solid deck building space exploration/combat and awesome story;7.7;1.0;0.0;42.0;22 January, 2021;True;63
3;For The Warp;often absolutely dependent on luck in the first turn without any reshuffle options especially encounters with multiple units not having shield cards usually means game over most of the battles are about getting enough shield points and stopping the occasional powerful attacks;14.3;1.0;0.0;212.0;05 April, 2020;True;277
4;For The Warp;a nice game which lacks some polish at the moment you have too little control over the gameplay as the few possible combos depend on getting the required cards by luck the replay factor needs improvement too as you can only unlock 34 ship hulls but no powerfull cards or something similiar for the next round currently there are only a few 5 levels/star systems which make the game very short nevertheless i enjoyed it and hope for a dlc and the needed improvements;5.7;1.0;0.0;1289.0;23 August, 2020;True;466
6;For The Warp;engaging addictive and super polished looks and sounds really good that soundtrack now if only i could get more repair drones;10.0;1.0;1.0;141.0;27 March, 2020;True;126
7;For The Warp;great game had a blast with it;64.4;1.0;1.0;132.0;30 August, 2020;True;31
8;For The Warp;fun game but needs more ships and cards would like a deck editor at the start of the game keep up the great work really enjoying the game;15.7;1.0;0.0;80.0;04 November, 2020;True;138
10;For The Warp;this game reminds me of the good times i had in slay the spire if you like deckbuilding this is a great game for you spire was the first game that got me into deckbuilding but it felt too rigid and linear this one gives a lot more path choices and as far as strats/builds go it feels more flexible;8.7;1.0;0.0;144.0;31 March, 2022;False;297
11;For The Warp;great fun the game is very challenging and comes with a great soundtrack and beautiful art-style looking forward to the content updates;8.5;1.0;1.0;59.0;05 April, 2020;True;137
12;For The Warp;early access review great game although you can not sell a card for x amount of money it just does not work atm;6.5;1.0;0.0;110.0;09 February, 2022;False;111
13;For The Warp;very good;9.6;1.0;0.0;995.0;29 January, 2021;True;10
14;For The Warp;really fun game great replayability great pixel art good gameplay balance cant wait to see whats added when it goes gold;25.3;1.0;0.0;151.0;20 January, 2021;True;121
15;For The Warp;very fun turn based rogue love it i recommend trying it;13.0;1.0;0.0;124.0;01 July, 2020;True;56
17;For The Warp;game is nice concept but feels like aplha becuse it is aplha  cards need to be balanced and mechanic making the game more dificult should be put in the combat interface in quite unredable its hard to understand what debuff i have and things like that it is a promising alpha;0.9;1.0;1.0;82.0;29 March, 2020;True;275
18;For The Warp;noooooo you cant just go infinite with the starting cards  light destroyer haha gatling gun go brrrrrrrrrrrrrrrrrrrr;4.3;1.0;0.0;244.0;28 June, 2020;True;117
19;For The Warp;good;36.0;1.0;0.0;39.0;17 December, 2020;True;5
20;For The Warp;for the warp  addictive turn based gameplay in a sci-fi setting that is randomized  lovely pixelated artstyle  + fitting soundtrack > winning combination;77.8;1.0;0.0;668.0;12 May, 2021;True;155
22;For The Warp;slay the spire in spaaaaaace the exploration element is a nice way to grind and farm bad guys before you have to exit the level cant wait to see what else they have in store for the game;77.8;1.0;0.0;144.0;09 November, 2021;True;187
23;For The Warp;fun little deck builder with plenty of interesting spaces to grow into;26.5;1.0;0.0;398.0;01 February, 2021;True;71
25;For The Warp;this game is super fun if you like strategy and puzzle deck based games this game is all about the risk vs reward sometimes you get in a situation where you have zero chance of winning but it is still early in development and its part of the fun;26.1;1.0;2.0;4.0;23 December, 2020;True;246
26;For The Warp;never played a space card game before was better than expected;20.9;1.0;0.0;575.0;21 April, 2022;False;62
27;For The Warp;great game still not the full release version but im really enjoying my time with it cant wait to see what else gets added;12.9;1.0;1.0;464.0;20 July, 2020;True;123
28;For The Warp;this game is way more fun than it has any right to be;58.0;1.0;0.0;20.0;14 May, 2021;True;54
30;For The Warp;very much like slay the spire but i think that i prefer the aesthetic a little bit more because the sound track is amazing and all of the ships are very well drawn and animated slay the spire still has more content but the content that is here is very promising i am excited to see what else the developers plan to add;8.4;1.0;0.0;283.0;02 April, 2020;True;319
31;For The Warp;solid turn-based game if you liked ftl and you like games with deck based combat like gloom haven this is for you i like the music and the sound and not being followed by the big orange space fleet of ftl explore kill loot buy;19.4;1.0;0.0;530.0;11 January, 2021;True;227
32;For The Warp;yup its enjoyable;17.4;1.0;0.0;33.0;28 December, 2020;True;18
33;For The Warp;worth a short play overall i would say this game has a lot of potential and the style is there it needs a good bit of cleaning and a lot of encounter/non-combat content i hope this sale gets it the attention it needs i look forward to playing this some time down the road;7.0;1.0;0.0;294.0;13 August, 2020;True;272
