;game_name;review_text;hours_played;rating;found_helpful;product_count;review_date;review_length
2;For The Warp;l 2020 EARLY ACCESS REVIEW It has the feel of FTL but plays similar to slay the spire The biggest turnoff for me and what ended up causing me to refund it is that you dont draw from your deck Every turn you get 5 random cards out of the cards in your deck you could get the same hand over and over it does not cycle through all the cards For example In my 21 card deck I had one copy of a card that boosts the attack of all your active drones and 3 cards that made drones In one battle and the battles are decently lengthy I drew the drone boost card every turn but never once did I draw a card that made a drone It was very frustrating In addition energy is not saved between turns but shields are there is a shield capacity so you can have totally wasted turns where you draw mostly shields and your shields are already at max so the turn just gets wasted  In short I enjoyed FTL and slay the spire but found this to be more frustrating than fun;0.5;0.0;78.0;1004.0;08 April, 2020;973
3;For The Warp;uary 2021 EARLY ACCESS REVIEW This is a tentative recommendation Like many others have said the game is fun but some things just dont work as youd expect Its less a deck-builder and more a card pool-builder - you have discard & draw mechanics but cards dont play in any sort of deck order You can draw the same card in every hand and never see others even over many turns The ability to explore sectors is cool but its not very useful and can encourage you to time-waste Having played this I can understand why FTL has an enemy fleet chasing you Its quite possible to become self-sufficient gaining fuel with every battle & self-repairing and clean out an entire sector but theres little value to doing so - youll have loads of money without anything useful to spend it on and just see the same two groups of enemies over and over;36.3;1.0;15.0;693.0;10 January, 2021;853
4;For The Warp;uary EARLY ACCESS REVIEW Ultimately disappointing Listen to other popular negative comments Theyre right  This game struggles from extreme balancing issues I wouldnt even bother picking this up until theyre fixed if they ever are The drone carrier which seems like a super fun ship cant even get passed the first few battles in Hardcore because you cant keep your drones alive Basic issues like that stop this game from going up in the ranks of STS type games Art is super awesome at least  I also experienced an invincibility bug that made every enemy permanently miss me Got to see the whole game for free and unlocked everything  PS My time played is way off I think Im closer to around 10-12 hours;26.4;0.0;18.0;937.0;18 January, 2022;724
7;For The Warp;st 2020 EARLY ACCESS REVIEW Like other reviews have said the draw mechanic is nonsensical You dont draw a card from the top you draw it from a pool So you can miss a card again and again and redraw cards immediately after playing them  Finished the game on my second run using an infinite loop of gattling fire Got nothing for it Hardcore didnt even unlock Game is really basic and lacks anything to set it apart from others Art is pretty nice the theme is good Ran into several bugs  Play Monster Train instead;1.7;0.0;30.0;489.0;05 August, 2020;527
9;For The Warp;l FTW doesnt have much of a story If any story It is lacking in ways to make the playable ships different All ships draw from the same card pool  The boss fights are just a big bag of health points Even the final fight is no different to all the fights that came before  With a name like FTW it is going to be compared to FTL And FTL is better in every way FTW could have learnt a LOT from them especially about story;18.6;0.0;12.0;462.0;06 April, 2022;428
10;For The Warp;r 24 2021 EARLY ACCESS REVIEW The concept is great and it is fun for a little while but it gets old VERY fast  There is much better rogue lite deckbuilders out there for similar prices;0.4;0.0;21.0;499.0;24 October, 2021;188
11;For The Warp;ry 22 EARLY ACCESS REVIEW Cant immediately quit and restart a new run easily Instead forced to sit through laggy menus and scenes everytime Im going to re-roll those initial selections A LOT so Id rather not waste my time Everything else is slow too with no speed-up option Why does everything take so long Why cant I click past events  You only get 3 maybe 5 trinkets max so theres no going crazy with those Most cards seem weak except for some really busted ones Deck is reshuffled every turn with no discard pile Better to cull your deck than build one and wait for one of the busted cards Prices at the shops seem all over the place Value in general seems could use some reconsidering  Also buggy with events just not working sometimes forcing restarts  Some weird choices that make it more frustrating than fun;21.5;0.0;9.0;284.0;22 February, 2022;845
12;For The Warp;ry 7 2021 EARLY ACCESS REVIEW This game is far too barebones currently There is no real meaningfull synergy The best way to beat the game is to simply remove cards from your starting deck so that you can fill it with cards that cost 0 and draws 1 It has cards that are too strong like reversing all enemy intents for 0 energy It becomes more of a war of how much time do you wish to spend on the save rather than how great of play do you do and how interesting of a deck you can build and due to that there are never any exciting moments where you live on a sliver of health You can tell from the first three battles if this run will be worth doing or not Its not totally meaningless but it would need quite the rehaul to make it worth playing more than once let alone pay for it;7.1;0.0;8.0;122.0;07 February, 2021;787
13;For The Warp;28 2020 EARLY ACCESS REVIEW Ever played Slay the Spire but felt it needed more spaceships  Say no more For the Warp has you covered This deckbuilding game takes everything you love and potentially hate about these card game RPGs and blasts it right into space You explore systems have some friendly and not so friendly encounters wholl all throw cards your way faster than you can jump to warp speed;4.6;1.0;21.0;416.0;28 March, 2020;410
14;For The Warp;12 Misses out on a lot of what makes deckbuilders like slay the spire fun Poorly balanced cards and repetitive encounters make this game not very enjoyable There are also a lot of poor design decisions like the ability to pool shield between turns and the lack of scaling damage over time that incentivises the player to play in the most boring way possible Stack as much shield as possible every turn then spend remaining energy on attack cards with little to no regard for what the enemies are doing;7.2;0.0;7.0;60.0;12 April, 2022;508
